Title,Genre,Premiere,Runtime,IMDB Score,Language
Heroin(e) ,Documentary,12-Sep-17,39,6.8,English
First They Killed My Father,Drama,15-Sep-17,136,7.2,Khmer/English/French
Gaga: Five Foot Two,Documentary,22-Sep-17,100,7,English
Long Shot,Documentary,29-Sep-17,40,7.4,English
Our Souls at Night,Romance,29-Sep-17,103,6.9,English
Gerald's Game,Horror thriller,29-Sep-17,103,6.5,English
The Death and Life of Marsha P. Johnson,Documentary,6-Oct-17,105,7.3,English
Bomb Scared,Black comedy,12-Oct-17,89,5.6,Spanish/Basque
Kingdom of Us,Documentary,13-Oct-17,109,7,English
The Meyerowitz Stories (New and Selected),Comedy-drama,13-Oct-17,112,6.9,English
The Babysitter,Teen comedy horror,13-Oct-17,85,6.3,English
One of Us,Documentary,20-Oct-17,95,7.1,English
Wheelman,Action thriller,20-Oct-17,82,6.4,English
1922,Horror/Crime drama,20-Oct-17,102,6.3,English
The Killer,Western,10-Nov-17,99,6.1,Portuguese
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17-Nov-17,94,7.7,English
A Christmas Prince,Romantic comedy,17-Nov-17,92,5.8,English
Saving Capitalism,Documentary,21-Nov-17,73,6.8,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-17,108,7.5,English
Cuba and the Cameraman ,Documentary,24-Nov-17,114,8.3,English
Voyuer ,Documentary,1-Dec-17,95,6.2,English
El Camino Christmas,Dark comedy,8-Dec-17,89,5.7,English
Christmas Inheritance,Romantic drama,15-Dec-17,104,5.7,English
Bright,Urban fantasy,22-Dec-17,117,6.3,English
The Polka King,Comedy-drama,12-Jan-18,95,5.9,English
Step Sisters,Comedy,19-Jan-18,108,5.5,English
The Open House,Horror thriller,19-Jan-18,94,3.2,English
A Futile and Stupid Gesture,Biographical/Comedy,26-Jan-18,101,6.8,English
The Cloverfield Paradox,Science fiction,4-Feb-18,102,5.5,English
Seeing Allred,Documentary,9-Feb-18,95,6.9,English
The Trader,Documentary,9-Feb-18,23,6.8,Georgian
When We First Met,Romantic comedy,9-Feb-18,97,6.4,English
Love per Square Foot,Romantic comedy,14-Feb-18,133,7.2,Hindi
Irreplaceable You,Drama,16-Feb-18,96,6.4,English
Mute,Science fiction/Mystery,23-Feb-18,126,5.5,English
Ladies First,Documentary,8-Mar-18,39,7.2,English/Hindi
The Outsider,Crime drama,9-Mar-18,120,6.3,English/Japanese
Take Your Pills,Documentary,16-Mar-18,87,6.4,English
Benji,Family film,16-Mar-18,87,6.3,English
Roxanne Roxanne,Biopic,23-Mar-18,98,6.2,English
"Game Over, Man!",Action/Comedy,23-Mar-18,101,5.4,English
Paradox,Musical/Western/Fantasy,23-Mar-18,73,3.9,English
First Match,Sports-drama,30-Mar-18,102,6.4,English
Happy Anniversary,Romantic comedy,30-Mar-18,78,5.8,English
Sometimes,Drama,1-May-18,101,7.2,Tamil
End Game,Documentary,4-May-18,40,7.1,English
Forgive Us Our Debts,Drama,4-May-18,104,6,Italian
The Kissing Booth,Romantic comedy,11-May-18,105,6,English
Cargo,Drama/Horror,18-May-18,104,6.3,English
Ibiza,Comedy,25-May-18,94,5.2,English
Alex Strangelove,Romantic comedy,8-Jun-18,99,6.3,English
Lust Stories,Drama,15-Jun-18,120,6.5,Hindi
Set It Up,Romantic comedy,15-Jun-18,105,6.5,English
"To Each, Her Own",Romantic comedy,24-Jun-18,95,5.3,French
Calibre,Thriller,29-Jun-18,101,6.8,English
Recovery Boys,Documentary,29-Jun-18,89,6.6,English
TAU,Science fiction/Thriller,29-Jun-18,97,5.8,English
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,6-Jul-18,83,5.5,English
How It Ends,Action-thriller,13-Jul-18,113,5,English
Father of the Year,Comedy,20-Jul-18,94,5.2,English
The Bleeding Edge,Documentary,27-Jul-18,100,7.6,English
Extinction,Science fiction/Thriller,27-Jul-18,95,5.8,English
Long Live Brij Mohan,Comedy,3-Aug-18,105,6.8,Hindi
Like Father,Comedy,3-Aug-18,103,6.1,English
Zion ,Documentary,10-Aug-18,11,7.2,English
The Package,Black comedy,10-Aug-18,94,5.5,English
To All the Boys I've Loved Before,Romantic comedy,17-Aug-18,99,7.1,English
The After Party,Comedy,24-Aug-18,89,5.8,English
City of Joy,Documentary,7-Sep-18,74,7.5,English
Sierra Burgess Is a Loser,Romantic comedy-drama,7-Sep-18,105,5.8,English
The Most Assassinated Woman in the World,Thriller,7-Sep-18,102,5.3,French
On My Skin,Crime drama,12-Sep-18,100,7.3,Italian
Reversing Roe,Documentary,13-Sep-18,99,7.5,English
The Angel,Spy thriller,14-Sep-18,114,6.6,English
The Land of Steady Habits,Drama,14-Sep-18,98,6.2,English
Quincy,Documentary,21-Sep-18,124,7.6,English
Nappily Ever After,Comedy-drama,21-Sep-18,98,6.4,English
Two Catalonias,Documentary,28-Sep-18,116,6.4,Spanish/Catalan
Notes from Dunblane: Lesson from a School Shooting,Documentary,28-Sep-18,23,5.9,English
Hold the Dark,Thriller,28-Sep-18,125,5.6,English
Private Life,Drama,5-Oct-18,124,7.2,English
22-Jul,Drama,10-Oct-18,144,6.8,English
Feminists: What Were They Thinking?,Documentary,12-Oct-18,86,7,English
ReMastered: Who Shot the Sheriff?,Documentary,12-Oct-18,57,6.9,English
Apostle,Horror-thriller,12-Oct-18,129,6.3,English
Derren Brown: Sacrifice,Mentalism special,19-Oct-18,49,7.1,English
The Night Comes for Us,Action-thriller,19-Oct-18,121,7,Indonesian
Shirkers,Documentary,26-Oct-18,97,7.4,English
Been So Long,Musical,26-Oct-18,100,5.5,English
They'll Love Me When I'm Dead,Documentary,2-Nov-18,98,7.4,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2-Nov-18,58,7.1,English
The Other Side of the Wind,Drama,2-Nov-18,122,6.8,English
The Holiday Calendar,Romantic comedy,2-Nov-18,95,5.7,English
Outlaw King,Historical-epic,9-Nov-18,121,6.9,English
Loudon Wainwright III: Surviving Twin,One-man show,13-Nov-18,91,7.1,English
The Ballad of Buster Scruggs,Western,16-Nov-18,132,7.3,English
The Princess Switch,Romantic comedy,16-Nov-18,101,6,English
Cam,Psychological horror,16-Nov-18,94,5.9,English
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,22-Nov-18,104,7,English
Angela's Christmas,Animation,30-Nov-18,30,7.1,English
Rajma Chawal,Comedy-drama,30-Nov-18,118,5.8,Hindi
A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-18,92,5.3,English
ReMastered: Who Killed Jam Master Jay?,Documentary,7-Dec-18,58,6.6,English
The American Meme,Documentary,7-Dec-18,98,6.6,English
Mowgli: Legend of the Jungle,Adventure,7-Dec-18,104,6.5,English
5 Star Christmas,Comedy,7-Dec-18,95,4.6,Italian
"Out of Many, One",Documentary,12-Dec-18,34,5.7,English
Roma,Drama,14-Dec-18,135,7.7,Spanish
Springsteen on Broadway,One-man show,16-Dec-18,153,8.5,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-18,105,8,English
Bird Box,Psychological thriller,21-Dec-18,124,6.6,English
Porta dos Fundos: The Last Hangover,Comedy,21-Dec-18,44,6.3,Portuguese
Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-18,125,8.4,English
Lionheart,Comedy,4-Jan-19,94,5.7,English
ReMastered: Massacre at the Stadium,Documentary,11-Jan-19,64,7.3,English/Spanish
The Last Laugh,Comedy-drama,11-Jan-19,98,5.6,English
Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-19,97,7.2,English
Soni,Crime drama,18-Jan-19,97,7.2,Hindi
IO,Science fiction/Drama,18-Jan-19,95,4.7,English
Polar,Action,25-Jan-19,118,6.3,English
Velvet Buzzsaw,Thriller,1-Feb-19,112,5.7,English
ReMastered: The Two Killings of Sam Cooke,Documentary,8-Feb-19,64,7.3,English
High Flying Bird,Sports-drama,8-Feb-19,90,6.2,English
Kevin Hart's Guide to Black History,Variety show,8-Feb-19,63,5.5,English
Period. End of Sentence.,Documentary,12-Feb-19,26,7.4,English/Hindi
Paddleton,Drama-Comedy,22-Feb-19,89,7.2,English
Firebrand,Drama,22-Feb-19,112,5.2,Marathi
Paris Is Us,Romance drama,22-Feb-19,83,4.6,French
Walk. Ride. Rodeo.,Drama,8-Mar-19,99,6.4,English
Juanita,Drama,8-Mar-19,90,6,English
Triple Frontier,Action-thriller,13-Mar-19,125,6.4,English
Antoine Griezmann: The Making of a Legend,Documentary,21-Mar-19,60,6.5,French
ReMastered: The Miami Showband Massacre,Documentary,22-Mar-19,70,7,English
The Dirt,Biopic,22-Mar-19,108,7,English
The Highwaymen,Crime drama,29-Mar-19,131,6.9,English
The Legend of Cocaine Island,Documentary,29-Mar-19,87,6.3,English
15-Aug,Comedy-drama,29-Mar-19,124,5.8,Marathi
Knock Down the House,Documentary,1-May-19,87,7.1,English
All in My Family,Documentary,3-May-19,39,6.8,English/Mandarin
Despite Everything,Comedy,3-May-19,78,5.4,Spanish
Wine Country,Comedy,10-May-19,103,5.5,English
Still Laugh-In: The Stars Celebrate,Variety show,14-May-19,60,5.2,English
Good Sam,Drama,16-May-19,89,5.7,English
ReMastered: The Lion's Share,Documentary,17-May-19,84,7,English
See You Yesterday,Science fiction,17-May-19,87,5.2,English
A Tale of Two Kitchens,Documentary,22-May-19,30,6.3,English/Spanish
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,23-May-19,30,6.9,English
The Perfection,Horror-thriller,24-May-19,90,6.1,English
Rim of the World,Science fiction adventure,24-May-19,98,5.2,English
After Maria,Documentary,24-May-19,37,4.6,English/Spanish
Always Be My Maybe,Romantic comedy,31-May-19,102,6.8,English
Chopsticks,Comedy,31-May-19,100,6.5,Hindi
The Black Godfather,Documentary,7-Jun-19,118,7.4,English
Elisa & Marcela,Romance,7-Jun-19,118,6.6,Spanish
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12-Jun-19,144,7.6,English
Life Overtakes Me,Documentary,14-Jun-19,40,6.5,English/Swedish
Murder Mystery,Comedy mystery,14-Jun-19,97,6,English
The Edge of Democracy,Documentary,19-Jun-19,121,7.2,Portuguese
Beats,Drama,19-Jun-19,110,7.1,English
Anima,Musical / Short,27-Jun-19,15,7.7,English
Parchis: The Documentary,Documentary,10-Jul-19,106,6.7,Spanish
Point Blank,Action,12-Jul-19,86,5.7,English
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-Jul-19,32,5.9,English
Secret Obsession,Thriller,18-Jul-19,97,4.4,English
The Great Hack,Documentary,24-Jul-19,114,7.1,English
The Red Sea Diving Resort,Spy thriller,31-Jul-19,130,6.6,English
Otherhood,Comedy,2-Aug-19,100,6.1,English
Enter the Anime,Documentary,5-Aug-19,58,2.5,English/Japanese
Rocko's Modern Life: Static Cling,Animation / Comedy,9-Aug-19,45,7,English
Lovefucked,Drama,9-Aug-19,106,6,Hindi
Invader Zim: Enter the Florpus,Animation / Science Fiction,16-Aug-19,71,7.5,English
Sextuplets,Comedy,16-Aug-19,99,4.4,English
American Factory,Documentary,21-Aug-19,110,7.4,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-Aug-19,10,5.2,English
Travis Scott: Look Mom I Can Fly,Documentary,28-Aug-19,85,6.3,English
Falling Inn Love,Romantic comedy,29-Aug-19,97,5.6,English
Back to School,Comedy,30-Aug-19,83,5.3,French
Evelyn,Documentary,10-Sep-19,96,7.1,English
Tall Girl,Comedy-drama,13-Sep-19,102,5.2,English
"Hello Privilege. It's Me, Chelsea",Documentary,13-Sep-19,64,4.4,English
Los Tigres del Norte at Folsom Prison,Documentary,15-Sep-19,64,7,Spanish
Between Two Ferns: The Movie,Comedy,20-Sep-19,82,6.1,English
Birders,Documentary,25-Sep-19,37,6.4,English/Spanish
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,27-Sep-19,41,6.4,English
In the Shadow of the Moon,Thriller,27-Sep-19,115,6.2,English
In the Tall Grass,Horror,4-Oct-19,101,5.4,English
El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English
Fractured,Thriller,11-Oct-19,100,6.4,English
The Forest of Love,Drama,11-Oct-19,151,6.3,Japanese
Street Flow,Drama,12-Oct-19,96,6.4,French
Tell Me Who I Am,Documentary,18-Oct-19,85,7.6,English
Seventeen,Coming-of-age comedy-drama,18-Oct-19,99,7.2,Spanish
Upstarts,Drama,18-Oct-19,112,6.7,Hindi
The Laundromat,Comedy-drama,18-Oct-19,98,6.3,English
Eli,Horror,18-Oct-19,98,5.7,English
Dancing with the Birds,Documentary,23-Oct-19,51,8.3,English
Dolemite Is My Name,Biopic,25-Oct-19,118,7.3,English
It Takes a Lunatic,Documentary,25-Oct-19,126,6.6,English
Rattlesnake,Horror,25-Oct-19,85,4.6,English
Little Miss Sumo,Documentary,28-Oct-19,19,6.7,Japanese
A 3 Minute Hug,Documentary,28-Oct-19,28,6.5,English/Spanish
The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-19,13,7.2,English
Fire in Paradise,Documentary,1-Nov-19,39,7.4,English
The King,Historical drama,1-Nov-19,140,7.2,English
Holiday in the Wild,Adventure-romance,1-Nov-19,85,6.1,English
American Son,Drama,1-Nov-19,90,5.8,English
Drive,Action,1-Nov-19,147,3.5,Hindi
Let It Snow,Romantic comedy,8-Nov-19,92,5.8,English
Klaus,Animation/Christmas/Comedy/Adventure,15-Nov-19,97,8.2,English
Earthquake Bird,Mystery,15-Nov-19,107,5.9,English
House Arrest,Comedy,15-Nov-19,104,5.5,Hindi
"Lorena, Light-Footed Woman",Documentary,20-Nov-19,28,7,Spanish
"Bikram: Yogi, Guru, Predator",Documentary,20-Nov-19,86,6.7,English
The Knight Before Christmas,Romantic comedy,21-Nov-19,92,5.5,English
The Irishman,Crime drama,27-Nov-19,209,7.8,English
The Irishman: In Conversation,Aftershow / Interview,27-Nov-19,23,7.4,English
Holiday Rush,Family film,28-Nov-19,94,4.9,English
Dead Kids,Thriller,1-Dec-19,94,5.5,Filipino
Porta dos Fundos: The First Temptation of Christ,Comedy,3-Dec-19,46,4.6,Portuguese
A Christmas Prince: The Royal Baby,Romantic comedy,5-Dec-19,85,5.4,English
Marriage Story,Drama,6-Dec-19,136,7.9,English
6 Underground,Action,13-Dec-19,128,6.1,English
After the Raid,Documentary,19-Dec-19,25,4.3,Spanish
The Two Popes,Drama,20-Dec-19,125,7.6,English
John Mulaney & the Sack Lunch Bunch,Variety show,24-Dec-19,70,7.5,English
Como Ca�do del Cielo,Musical comedy,24-Dec-19,112,6.4,Spanish
The App,Science fiction/Drama,26-Dec-19,79,2.6,Italian
El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish
Ghost Stories,Horror anthology,1-Jan-20,144,4.3,Hindi
A Fall from Grace,Thriller,17-Jan-20,120,5.9,English
What Did Jack Do?,Drama / Short,20-Jan-20,17,6.5,English
Airplane Mode,Comedy,23-Jan-20,96,5,Portuguese
Miss Americana,Documentary,31-Jan-20,85,7.4,English
Horse Girl,Drama,7-Feb-20,104,5.9,English
Road to Roma,Making-of,11-Feb-20,72,7.7,Spanish
To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,102,6,English
Isi & Ossi,Romantic comedy,14-Feb-20,113,6.4,German
Yeh Ballet,Drama,21-Feb-20,117,7.6,Hindi
The Last Thing He Wanted,Political thriller,21-Feb-20,115,4.3,English
All the Bright Places,Romance,28-Feb-20,108,6.5,English
Spenser Confidential,Action comedy,6-Mar-20,111,6.2,English
Guilty,Thriller,6-Mar-20,119,5.4,Hindi
Sitara: Let Girls Dream,Animation / Short,8-Mar-20,15,7.3,English
Lost Girls,Crime drama,13-Mar-20,95,6.1,English
Altered Carbon: Resleeved,Anime/Science fiction,19-Mar-20,74,6.5,Japanese
A Life of Speed: The Juan Manuel Fangio Story,Documentary,20-Mar-20,92,6.8,Spanish
Ultras,Sports film,20-Mar-20,108,5.9,Italian
Crip Camp: A Disability Revolution,Documentary,25-Mar-20,108,7.7,English
The Occupant,Thriller,25-Mar-20,103,6.4,Spanish
Uncorked,Drama,27-Mar-20,103,6.3,English
Maska,Romantic comedy,27-Mar-20,111,5.9,Hindi
The Decline,Thriller,27-Mar-20,83,5.9,French
The Half of It,Romance,1-May-20,105,6.9,English
All Day and a Night,Drama,1-May-20,121,5.8,English
Mrs. Serial Killer,Thriller,1-May-20,106,4.8,Hindi
Becoming,Documentary,6-May-20,89,6.8,English
Have a Good Trip: Adventures in Psychedelics,Documentary,11-May-20,85,6.8,English
The Wrong Missy,Comedy,13-May-20,90,5.7,English
Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-20,85,8.4,English
The Lovebirds,Romantic comedy,22-May-20,87,6.1,English
I'm No Longer Here,Drama,27-May-20,105,7.3,Spanish
Intuition,Thriller,28-May-20,116,5.3,Spanish
Spelling the Dream,Documentary,3-Jun-20,83,6.9,English
Choked: Paisa Bolta Hai,Drama,5-Jun-20,114,5.8,Hindi
The Last Days of American Crime,Heist film/Thriller,5-Jun-20,149,3.7,English
Da 5 Bloods,War drama,12-Jun-20,155,6.5,English
A Whisker Away,Anime/Fantasy,18-Jun-20,104,6.7,Japanese
One Take,Documentary,18-Jun-20,85,5.7,Thai
Disclosure: Trans Lives on Screen,Documentary,19-Jun-20,107,8.2,English
Feel the Beat,Family/Comedy-drama,19-Jun-20,107,6.3,English
Lost Bullet,Thriller,19-Jun-20,92,6.2,French
One-Way to Tomorrow,Romance,19-Jun-20,90,5.6,Turkish
Athlete A,Documentary,24-Jun-20,104,7.6,English
Bulbbul,Horror,24-Jun-20,94,6.6,Hindi
Nobody Knows I'm Here,Drama,24-Jun-20,91,6.5,Spanish
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-20,123,6.5,English
Under the Riccione Sun,Romantic teenage drama,1-Jul-20,101,5.4,Italian
Desperados,Romantic comedy,3-Jul-20,106,5.2,English
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,8-Jul-20,96,7.3,Spanish/English
The Claudia Kishi Club,Documentary,10-Jul-20,17,6.9,English
The Old Guard,Superhero/Action,10-Jul-20,124,6.7,English
We Are One,Documentary,14-Jul-20,86,4.6,French
The Players,Comedy,15-Jul-20,88,4.6,Italian
Fatal Affair,Thriller,16-Jul-20,89,4.5,English
Father Soldier Son,Documentary,17-Jul-20,100,7.3,English
The Larva Island Movie,Animation,23-Jul-20,90,5.1,English
Offering to the Storm,Thriller,24-Jul-20,139,6.2,Spanish
The Kissing Booth 2,Romantic comedy,24-Jul-20,131,5.8,English
The Speed Cubers,Documentary,29-Jul-20,40,7.4,English
Raat Akeli Hai,Thriller,31-Jul-20,149,7.3,Hindi
Seriously Single,Comedy,31-Jul-20,107,4.5,English
Anelka: Misunderstood,Documentary,5-Aug-20,94,6.4,French
Work It,Dance comedy,7-Aug-20,93,6.1,English
Gunjan Saxena: The Kargil Girl,Drama,12-Aug-20,112,5.3,Hindi
Octonauts & the Caves of Sac Actun,Animation,14-Aug-20,72,6.2,English
Project Power,Superhero,14-Aug-20,113,6,English
Fearless,Animation/Superhero,14-Aug-20,89,4.9,English
Crazy Awesome Teachers,Comedy-drama,17-Aug-20,101,6.2,Indonesian
The Crimes That Bind,Crime drama,20-Aug-20,99,6.6,Spanish
John Was Trying to Contact Aliens,Documentary,20-Aug-20,16,6.4,English
Class of '83,Drama,21-Aug-20,98,5.8,Hindi
The Sleepover,Comedy,21-Aug-20,103,5.6,English
Dark Forces,Thriller,21-Aug-20,81,2.6,Spanish
Rising Phoenix,Documentary,26-Aug-20,106,8.1,English
All Together Now,Drama,28-Aug-20,93,6.5,English
Unknown Origins,Thriller,28-Aug-20,96,6.1,Spanish
Freaks: You're One of Us,Supernatural drama,2-Sep-20,92,5.4,German
"Love, Guaranteed",Romantic comedy,3-Sep-20,91,5.6,English
I'm Thinking of Ending Things,Psychological thriller,4-Sep-20,134,6.6,English
My Octopus Teacher,Documentary,7-Sep-20,85,8.1,English
The Social Dilemma,Documentary,9-Sep-20,94,7.6,English
The Babysitter: Killer Queen,Comedy/Horror,10-Sep-20,102,5.8,English
Dad Wanted,Family,11-Sep-20,102,5.7,Spanish
Hope Frozen: A Quest to Live Twice,Documentary,15-Sep-20,80,6.7,Thia/English
The Devil All the Time,Psychological thriller,16-Sep-20,138,7.1,English
The Paramedic,Thriller,16-Sep-20,94,5.6,Spanish
GIMS: On the Record,Documentary,17-Sep-20,96,6.8,French
Dolly Kitty and Those Twinkling Stars,Drama,18-Sep-20,120,5.4,Hindi
Whipped,Romantic comedy,18-Sep-20,97,4.1,Indonesian
A Love Song for Latasha,Documentary,21-Sep-20,19,6.8,English
American Murder: The Family Next Door,Documentary,30-Sep-20,82,7.2,English
The Boys in the Band,Drama,30-Sep-20,121,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,30-Sep-20,28,6.8,English
All Because of You,Action comedy,1-Oct-20,101,4.2,Malay
Dick Johnson Is Dead,Documentary,2-Oct-20,90,7.5,English
Serious Men,Drama,2-Oct-20,114,6.8,Hindi
You've Got This,Romantic comedy,2-Oct-20,111,5.8,Spanish
Vampires vs. the Bronx,Horror comedy,2-Oct-20,86,5.6,English
�l�t?r�,Crime drama,2-Oct-20,106,5.5,English
The Binding,Drama,2-Oct-20,93,4.7,Italian
David Attenborough: A Life on Our Planet,Documentary,4-Oct-20,83,9,English
Hubie Halloween,Comedy,7-Oct-20,103,5.2,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,8-Oct-20,100,6.9,French
The 40-Year-Old Version,Comedy,9-Oct-20,124,7.2,English
Ginny Weds Sunny,Romantic comedy,9-Oct-20,125,5.7,Hindi
Octonauts & the Great Barrier Reef,Animation,13-Oct-20,47,7.3,English
The Three Deaths of Marisela Escobedo,Documentary,14-Oct-20,109,8.2,Spanish
Blackpink: Light Up the Sky,Documentary,14-Oct-20,79,7.5,Korean
Rooting for Roona,Documentary,15-Oct-20,41,7.1,Bengali
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-Oct-20,98,5.4,English
Love Like the Falling Rain,Drama,15-Oct-20,86,5,Indonesian
The Trial of the Chicago 7,Drama,16-Oct-20,130,7.8,English
Rebecca,Romantic thriller,21-Oct-20,123,6,English
Cadaver,Horror,22-Oct-20,86,5.1,Norwegian
Over the Moon,Animation/Musical/Adventure,23-Oct-20,95,6.4,English
Guillermo Vilas: Settling the Score,Documentary,27-Oct-20,94,7.1,Spanish
Sarah Cooper: Everything's Fine,Variety show,27-Oct-20,49,5.6,English
Secrets of the Saqqara Tomb,Documentary,28-Oct-20,114,7.3,English/Arabic
Holidate,Romantic comedy/Holiday,28-Oct-20,104,6.1,English
Nobody Sleeps in the Woods Tonight,Horror,28-Oct-20,103,4.8,Polish
His House,Thriller,30-Oct-20,93,6.5,English
Rogue City,Crime drama,30-Oct-20,116,6.1,French
The Day of the Lord,Drama,30-Oct-20,93,4.9,Spanish
Kaali Khuhi,Mystery,30-Oct-20,90,3.4,Hindi
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,3-Nov-20,14,7,English
Operation Christmas Drop,Romantic comedy,5-Nov-20,96,5.8,English
Citation,Drama,6-Nov-20,151,6.2,English
